SubsequenceLength,CurrentIndex,Positions,Scores
24,96,"[134, 211, 253, 299, 570, 1420, 1433, 1446, 319, 115, 1154, 526, 641, 795, 21628, 953, 101, 224, 472, 172, 542, 2603, 2065, 1361, 1757, 1069, 459, 22121, 403, 1837, 333, 285, 157, 841, 1024, 372, 2678, 733, 353, 1604, 1617, 22337, 1381, 3877, 682, 811, 386, 8532, 695, 856, 21747, 21580, 906, 510, 22160, 992, 1115, 22366, 1850, 267]","[5.2461, 5.1883, 5.075, 5.0466, 4.9909, 4.966, 4.9659, 4.9658, 4.9632, 4.9578, 4.9245, 4.8907, 4.8723, 4.8475, 4.8131, 4.8119, 4.8044, 4.7972, 4.7966, 4.7866, 4.7821, 4.7573, 4.7573, 4.7457, 4.7378, 4.7296, 4.7211, 4.6897, 4.6722, 4.6656, 4.6594, 4.6555, 4.6384, 4.6289, 4.6227, 4.6227, 4.6066, 4.5898, 4.5726, 4.5716, 4.5715, 4.5687, 4.5586, 4.5559, 4.5552, 4.5549, 4.5534, 4.5494, 4.5481, 4.5459, 4.5401, 4.5382, 4.5347, 4.5324, 4.525, 4.5189, 4.502, 4.4909, 4.4896, 4.4864]"
24,168,"[211, 253, 299, 570, 1420, 319, 1154, 526, 641, 795, 21628, 953, 224, 472, 172, 542, 2603, 2065, 1361, 1757, 1069, 459, 22121, 403, 1837, 333, 285, 841, 1024, 372, 2678, 1456, 733, 353, 1604, 1617, 22337, 1381, 3877, 682, 811, 386, 8532, 695, 856, 21747, 21580, 906, 510, 22160, 992, 1115, 22366, 1850, 267, 1050, 21779, 21605, 1395, 940]","[5.1883, 5.075, 5.0466, 4.9909, 4.966, 4.9632, 4.9245, 4.8907, 4.8723, 4.8475, 4.8131, 4.8119, 4.7972, 4.7966, 4.7866, 4.7821, 4.7573, 4.7573, 4.7457, 4.7378, 4.7296, 4.7211, 4.6897, 4.6722, 4.6656, 4.6594, 4.6555, 4.6289, 4.6227, 4.6227, 4.6066, 4.6009, 4.5898, 4.5726, 4.5716, 4.5715, 4.5687, 4.5586, 4.5559, 4.5552, 4.5549, 4.5534, 4.5494, 4.5481, 4.5459, 4.5401, 4.5382, 4.5347, 4.5324, 4.525, 4.5189, 4.502, 4.4909, 4.4896, 4.4864, 4.4806, 4.4706, 4.4628, 4.4523, 4.4509]"
24,672,"[1420, 1154, 795, 21628, 953, 2603, 2065, 1361, 1757, 1069, 22121, 1837, 841, 1024, 2678, 1456, 733, 1604, 22337, 1381, 3877, 682, 811, 8532, 695, 856, 21747, 21580, 906, 22160, 992, 1115, 22366, 1850, 1050, 21779, 21605, 1395, 940, 824, 25209, 4374, 874, 2656, 1250, 3847, 1911, 12451, 1128, 22052, 1083, 21799, 3700, 2109, 750, 5198, 21870, 5233, 2616, 1344]","[4.966, 4.9245, 4.8475, 4.8131, 4.8119, 4.7573, 4.7573, 4.7457, 4.7378, 4.7296, 4.6897, 4.6656, 4.6289, 4.6227, 4.6066, 4.6009, 4.5898, 4.5716, 4.5687, 4.5586, 4.5559, 4.5552, 4.5549, 4.5494, 4.5481, 4.5459, 4.5401, 4.5382, 4.5347, 4.525, 4.5189, 4.502, 4.4909, 4.4896, 4.4806, 4.4706, 4.4628, 4.4523, 4.4509, 4.4479, 4.4447, 4.4446, 4.4429, 4.4426, 4.4419, 4.4165, 4.4105, 4.4044, 4.4034, 4.4028, 4.3965, 4.3872, 4.3796, 4.3737, 4.3683, 4.3632, 4.3589, 4.3508, 4.3451, 4.3344]"
24,4032,"[21628, 22121, 22337, 8532, 21747, 21580, 22160, 22366, 21779, 21605, 25209, 4374, 12451, 22052, 21799, 5198, 21870, 5233, 5334, 4425, 21942, 4209, 4739, 22890, 22475, 21528, 21887, 22145, 5437, 22350, 4083, 21765, 5015, 8448, 5697, 4442, 22039, 5253, 22825, 4108, 21815, 4770, 22577, 21957, 5613, 22067, 21653, 22322, 4636, 7239, 22085, 22657, 4360, 14606, 5593, 15673, 22410, 21928, 22287, 24737]","[4.8131, 4.6897, 4.5687, 4.5494, 4.5401, 4.5382, 4.525, 4.4909, 4.4706, 4.4628, 4.4447, 4.4446, 4.4044, 4.4028, 4.3872, 4.3632, 4.3589, 4.3508, 4.2979, 4.2793, 4.2728, 4.2502, 4.24, 4.2371, 4.232, 4.2319, 4.2303, 4.2279, 4.2099, 4.2073, 4.207, 4.1875, 4.1859, 4.1819, 4.1764, 4.1728, 4.1648, 4.1647, 4.1498, 4.1242, 4.123, 4.1228, 4.1201, 4.1004, 4.0993, 4.0887, 4.0834, 4.056, 4.0545, 4.0417, 4.0402, 4.0374, 4.0266, 4.0141, 4.0085, 4.0063, 4.0055, 4.0054, 3.9943, 3.9808]"
24,8064,"[21628, 22121, 22337, 8532, 21747, 21580, 22160, 22366, 21779, 21605, 25209, 12451, 22052, 21799, 21870, 21942, 22890, 22475, 21528, 21887, 22145, 22350, 21765, 8448, 22039, 22825, 21815, 22577, 21957, 22067, 21653, 22322, 22085, 22657, 14606, 15673, 22410, 21928, 22287, 24737, 21544, 21676, 25075, 21974, 20202, 21567, 21718, 15074, 22717, 14511, 14578, 21734, 22874, 14627, 20513, 22270, 22197, 15353, 14790, 22808]","[4.8131, 4.6897, 4.5687, 4.5494, 4.5401, 4.5382, 4.525, 4.4909, 4.4706, 4.4628, 4.4447, 4.4044, 4.4028, 4.3872, 4.3589, 4.2728, 4.2371, 4.232, 4.2319, 4.2303, 4.2279, 4.2073, 4.1875, 4.1819, 4.1648, 4.1498, 4.123, 4.1201, 4.1004, 4.0887, 4.0834, 4.056, 4.0402, 4.0374, 4.0141, 4.0063, 4.0055, 4.0054, 3.9943, 3.9808, 3.9663, 3.9636, 3.9545, 3.9532, 3.9465, 3.9338, 3.9261, 3.9228, 3.9204, 3.9182, 3.9095, 3.904, 3.901, 3.8966, 3.8903, 3.8693, 3.8669, 3.8596, 3.8394, 3.8375]"
24,24192,"[25209, 24737, 25075, 25153, 25342, 24826, 25457, 24839, 24458, 24544, 25377, 25222, 25167, 24669, 24608, 24577, 24921, 24444, 25441, 25411, 25391, 24636, 24872, 25286, 25026, 24653, 24781, 25315, 24522, 24593, 25049, 24407, 24561, 24767, 25010, 25470, 25238, 24369, 24715, 24226, 25119, 24854, 25088, 25362, 25424, 24907, 24478, 24750, 30809, 24422, 25302, 24977, 24948, 24813, 24260, 24682, 24341, 24934, 25267, 24799]","[4.4447, 3.9808, 3.9545, 3.8305, 3.8269, 3.8146, 3.7837, 3.761, 3.7529, 3.7438, 3.7431, 3.672, 3.6414, 3.6139, 3.609, 3.5768, 3.5635, 3.5602, 3.5454, 3.5366, 3.5118, 3.4821, 3.4588, 3.4421, 3.4414, 3.4254, 3.4016, 3.3991, 3.3825, 3.3792, 3.3644, 3.3614, 3.3471, 3.317, 3.3079, 3.2918, 3.2495, 3.2468, 3.2452, 3.2445, 3.2373, 3.225, 3.1993, 3.1976, 3.189, 3.1808, 3.166, 3.1549, 3.0952, 3.0784, 3.0759, 3.0442, 3.0412, 3.0086, 3.0018, 2.9617, 2.9531, 2.946, 2.945, 2.9444]"
48,96,"[135, 1420, 285, 521, 200, 103, 801, 553, 1124, 310, 707, 1042, 929, 241, 172, 954, 393, 3853, 618, 449, 21748, 22324, 734, 2656, 1847, 1369, 1742, 1000, 1195, 849, 4363, 1339, 22126, 21779, 2580, 3633, 773, 2510, 1921, 477, 22052, 341, 1570, 1231, 682, 2044, 1170, 3684, 1896, 1259, 2717, 2420, 22876, 21604, 8451, 1069, 5592, 3826, 2766, 1779]","[8.2258, 7.8763, 7.8553, 7.85, 7.8004, 7.7488, 7.674, 7.6439, 7.6375, 7.6269, 7.621, 7.605, 7.6011, 7.5867, 7.5554, 7.5432, 7.5258, 7.5177, 7.4986, 7.4845, 7.4551, 7.4249, 7.4122, 7.4039, 7.3945, 7.3894, 7.3736, 7.3409, 7.3099, 7.2939, 7.292, 7.2789, 7.2739, 7.266, 7.2619, 7.1911, 7.1793, 7.1722, 7.161, 7.1544, 7.1337, 7.1085, 7.093, 7.0862, 7.0722, 7.0673, 7.0598, 7.0588, 7.0416, 7.0322, 7.0163, 7.0152, 7.0055, 6.9866, 6.981, 6.9793, 6.9722, 6.9685, 6.968, 6.9621]"
48,168,"[1420, 285, 521, 200, 801, 553, 1124, 310, 707, 1042, 929, 241, 172, 954, 393, 3853, 618, 449, 21748, 22324, 734, 2656, 1847, 1369, 1742, 1000, 1195, 849, 4363, 1339, 22126, 21779, 2580, 3633, 773, 2510, 1921, 477, 22052, 341, 1570, 1231, 682, 2044, 1170, 3684, 1896, 1259, 2717, 2420, 22876, 21604, 8451, 1069, 5592, 3826, 2766, 1779, 21915, 1524]","[7.8763, 7.8553, 7.85, 7.8004, 7.674, 7.6439, 7.6375, 7.6269, 7.621, 7.605, 7.6011, 7.5867, 7.5554, 7.5432, 7.5258, 7.5177, 7.4986, 7.4845, 7.4551, 7.4249, 7.4122, 7.4039, 7.3945, 7.3894, 7.3736, 7.3409, 7.3099, 7.2939, 7.292, 7.2789, 7.2739, 7.266, 7.2619, 7.1911, 7.1793, 7.1722, 7.161, 7.1544, 7.1337, 7.1085, 7.093, 7.0862, 7.0722, 7.0673, 7.0598, 7.0588, 7.0416, 7.0322, 7.0163, 7.0152, 7.0055, 6.9866, 6.981, 6.9793, 6.9722, 6.9685, 6.968, 6.9621, 6.9373, 6.9234]"
48,672,"[1420, 801, 1124, 707, 1042, 929, 954, 3853, 21748, 22324, 734, 2656, 1847, 1369, 1742, 1000, 1195, 849, 4363, 1339, 22126, 21779, 2580, 3633, 773, 2510, 1921, 22052, 1570, 1231, 682, 2044, 1170, 3684, 1896, 1259, 2717, 2420, 22876, 21604, 8451, 1069, 5592, 3826, 2766, 1779, 21915, 1524, 903, 5202, 1472, 876, 5232, 5265, 4766, 5636, 1595, 5316, 2204, 2692]","[7.8763, 7.674, 7.6375, 7.621, 7.605, 7.6011, 7.5432, 7.5177, 7.4551, 7.4249, 7.4122, 7.4039, 7.3945, 7.3894, 7.3736, 7.3409, 7.3099, 7.2939, 7.292, 7.2789, 7.2739, 7.266, 7.2619, 7.1911, 7.1793, 7.1722, 7.161, 7.1337, 7.093, 7.0862, 7.0722, 7.0673, 7.0598, 7.0588, 7.0416, 7.0322, 7.0163, 7.0152, 7.0055, 6.9866, 6.981, 6.9793, 6.9722, 6.9685, 6.968, 6.9621, 6.9373, 6.9234, 6.9066, 6.9035, 6.8843, 6.8778, 6.8709, 6.86, 6.831, 6.8275, 6.8228, 6.8215, 6.8168, 6.8136]"
48,4032,"[21748, 22324, 4363, 22126, 21779, 22052, 22876, 21604, 8451, 5592, 21915, 5202, 5232, 5265, 4766, 5636, 5316, 4334, 5401, 21697, 21955, 21528, 25197, 22009, 21813, 20406, 21563, 5441, 22810, 4147, 14578, 24665, 4545, 4737, 4857, 4208, 24831, 4172, 22708, 4437, 22645, 21867, 14511, 5020, 25050, 24711, 4622, 25222, 4585, 5527, 5291, 4894, 24739, 14544, 20497, 20245, 21670, 5160, 20319, 5081]","[7.4551, 7.4249, 7.292, 7.2739, 7.266, 7.1337, 7.0055, 6.9866, 6.981, 6.9722, 6.9373, 6.9035, 6.8709, 6.86, 6.831, 6.8275, 6.8215, 6.8049, 6.7931, 6.7865, 6.7267, 6.7234, 6.7046, 6.6915, 6.6818, 6.6794, 6.6757, 6.6746, 6.6745, 6.6621, 6.6458, 6.6437, 6.6322, 6.6318, 6.6314, 6.587, 6.5646, 6.5544, 6.5051, 6.5018, 6.4907, 6.4895, 6.4773, 6.471, 6.4531, 6.448, 6.4395, 6.4244, 6.4131, 6.412, 6.3993, 6.3957, 6.3943, 6.3939, 6.3888, 6.3886, 6.3824, 6.3823, 6.378, 6.3702]"
