SubsequenceLength,CurrentIndex,Positions,Scores
24,96,"[134, 211, 253, 299, 570, 1420, 1433, 1446, 319, 115, 1154, 641, 795, 526, 101, 224, 21628, 953, 474, 545, 172, 2603, 2065, 1361, 1069, 1757, 459, 22121, 333, 1837, 285, 157, 403, 1024, 841, 372, 2678, 733, 695, 353, 1604, 1617, 22337, 1381, 386, 3877, 682, 8532, 811, 21747, 510, 906, 21580, 856, 22160, 992, 1115, 22366, 1850, 1050]","[5.2129, 5.1811, 5.0921, 5.0512, 4.9946, 4.966, 4.9659, 4.9658, 4.9621, 4.9506, 4.928, 4.8785, 4.8627, 4.8383, 4.8233, 4.8085, 4.8074, 4.8015, 4.7954, 4.7952, 4.784, 4.7575, 4.7551, 4.7497, 4.739, 4.7348, 4.7241, 4.69, 4.6779, 4.6641, 4.6451, 4.6408, 4.6382, 4.6333, 4.6308, 4.6249, 4.6045, 4.577, 4.5767, 4.5749, 4.5736, 4.5735, 4.5672, 4.5601, 4.5596, 4.5559, 4.5506, 4.5494, 4.5476, 4.5401, 4.5397, 4.5394, 4.5382, 4.5351, 4.5235, 4.5206, 4.4987, 4.4897, 4.4888, 4.48]"
24,168,"[211, 253, 299, 570, 1420, 319, 1154, 641, 795, 526, 224, 21628, 953, 474, 545, 172, 2603, 2065, 1361, 1069, 1757, 459, 22121, 333, 1837, 285, 403, 1024, 841, 372, 2678, 1456, 733, 695, 353, 1604, 22337, 1381, 386, 3877, 682, 8532, 811, 21747, 510, 906, 21580, 856, 22160, 992, 1115, 22366, 1850, 1050, 267, 21779, 21605, 874, 1250, 940]","[5.1811, 5.0921, 5.0512, 4.9946, 4.966, 4.9621, 4.928, 4.8785, 4.8627, 4.8383, 4.8085, 4.8074, 4.8015, 4.7954, 4.7952, 4.784, 4.7575, 4.7551, 4.7497, 4.739, 4.7348, 4.7241, 4.69, 4.6779, 4.6641, 4.6451, 4.6382, 4.6333, 4.6308, 4.6249, 4.6045, 4.598, 4.577, 4.5767, 4.5749, 4.5736, 4.5672, 4.5601, 4.5596, 4.5559, 4.5506, 4.5494, 4.5476, 4.5401, 4.5397, 4.5394, 4.5382, 4.5351, 4.5235, 4.5206, 4.4987, 4.4897, 4.4888, 4.48, 4.4787, 4.4706, 4.4628, 4.4625, 4.4483, 4.4478]"
24,672,"[1420, 1154, 795, 21628, 953, 2603, 2065, 1361, 1069, 1757, 22121, 1837, 1024, 841, 2678, 1456, 733, 695, 1604, 22337, 1381, 3877, 682, 8532, 811, 21747, 906, 21580, 856, 22160, 992, 1115, 22366, 1850, 1050, 21779, 21605, 874, 1250, 940, 1395, 25209, 4374, 824, 2656, 3847, 1911, 1128, 22054, 12451, 1082, 21799, 3700, 2109, 750, 5198, 21870, 5233, 708, 2616]","[4.966, 4.928, 4.8627, 4.8074, 4.8015, 4.7575, 4.7551, 4.7497, 4.739, 4.7348, 4.69, 4.6641, 4.6333, 4.6308, 4.6045, 4.598, 4.577, 4.5767, 4.5736, 4.5672, 4.5601, 4.5559, 4.5506, 4.5494, 4.5476, 4.5401, 4.5394, 4.5382, 4.5351, 4.5235, 4.5206, 4.4987, 4.4897, 4.4888, 4.48, 4.4706, 4.4628, 4.4625, 4.4483, 4.4478, 4.4448, 4.4447, 4.4446, 4.4415, 4.4399, 4.4165, 4.4096, 4.4068, 4.4066, 4.4044, 4.3963, 4.3867, 4.3796, 4.3759, 4.3749, 4.3632, 4.3589, 4.3508, 4.3482, 4.3442]"
24,4032,"[21628, 22121, 22337, 8532, 21747, 21580, 22160, 22366, 21779, 21605, 25209, 4374, 22054, 12451, 21799, 5198, 21870, 5233, 5334, 4425, 21942, 4209, 4739, 22475, 22890, 21528, 21887, 22145, 5437, 22350, 4083, 21765, 5015, 8448, 5697, 4442, 22039, 5253, 22825, 22577, 4108, 21815, 4770, 21957, 5613, 22067, 21653, 22322, 4636, 7239, 22657, 22085, 4360, 14606, 5593, 15673, 21928, 22287, 24737, 5522]","[4.8074, 4.69, 4.5672, 4.5494, 4.5401, 4.5382, 4.5235, 4.4897, 4.4706, 4.4628, 4.4447, 4.4446, 4.4066, 4.4044, 4.3867, 4.3632, 4.3589, 4.3508, 4.2979, 4.2793, 4.2772, 4.2502, 4.24, 4.2393, 4.2392, 4.2319, 4.2296, 4.2279, 4.2099, 4.2072, 4.207, 4.1875, 4.1859, 4.1819, 4.1764, 4.1728, 4.1648, 4.1647, 4.1433, 4.1356, 4.1242, 4.123, 4.1228, 4.1122, 4.0993, 4.0887, 4.0834, 4.0698, 4.0545, 4.0417, 4.0368, 4.0341, 4.0266, 4.0141, 4.0085, 4.0063, 3.9945, 3.9943, 3.9808, 3.9803]"
24,8064,"[21628, 22121, 22337, 8532, 21747, 21580, 22160, 22366, 21779, 21605, 25209, 22054, 12451, 21799, 21870, 21942, 22475, 22890, 21528, 21887, 22145, 22350, 21765, 8448, 22039, 22825, 22577, 21815, 21957, 22067, 21653, 22322, 22657, 22085, 14606, 15673, 21928, 22287, 24737, 22410, 21544, 21676, 25075, 21974, 20202, 21567, 21718, 15074, 22717, 14511, 14578, 21734, 22874, 14627, 20513, 22270, 22197, 15353, 22686, 14790]","[4.8074, 4.69, 4.5672, 4.5494, 4.5401, 4.5382, 4.5235, 4.4897, 4.4706, 4.4628, 4.4447, 4.4066, 4.4044, 4.3867, 4.3589, 4.2772, 4.2393, 4.2392, 4.2319, 4.2296, 4.2279, 4.2072, 4.1875, 4.1819, 4.1648, 4.1433, 4.1356, 4.123, 4.1122, 4.0887, 4.0834, 4.0698, 4.0368, 4.0341, 4.0141, 4.0063, 3.9945, 3.9943, 3.9808, 3.9775, 3.9673, 3.9626, 3.9545, 3.9532, 3.9465, 3.932, 3.9261, 3.9228, 3.9204, 3.9182, 3.9095, 3.901, 3.901, 3.8966, 3.8903, 3.8693, 3.8669, 3.8596, 3.8445, 3.8394]"
24,24192,"[25209, 24737, 25075, 25153, 25342, 24826, 25457, 24839, 24458, 24544, 25377, 25222, 25167, 24669, 24608, 24577, 24921, 24444, 25441, 25411, 25391, 24636, 24872, 25286, 25026, 24653, 24781, 25315, 24522, 24593, 25049, 24407, 24561, 24767, 25010, 25470, 25238, 24369, 24715, 24226, 25119, 24854, 25088, 25362, 25424, 24907, 24478, 24750, 24422, 25302, 24977, 24948, 24813, 24260, 24682, 24341, 24934, 25267, 24799, 24500]","[4.4447, 3.9808, 3.9545, 3.8305, 3.8269, 3.8146, 3.7837, 3.761, 3.7529, 3.7438, 3.7431, 3.672, 3.6414, 3.6139, 3.609, 3.5768, 3.5635, 3.5602, 3.5454, 3.5366, 3.5118, 3.4821, 3.4588, 3.4421, 3.4414, 3.4254, 3.4016, 3.3989, 3.3824, 3.3792, 3.3644, 3.3614, 3.3471, 3.317, 3.3079, 3.2918, 3.2495, 3.2467, 3.2452, 3.2445, 3.2373, 3.225, 3.1993, 3.1976, 3.189, 3.1808, 3.166, 3.1549, 3.0784, 3.0759, 3.044, 3.0412, 3.0086, 3.0018, 2.9617, 2.9531, 2.946, 2.945, 2.9444, 2.9407]"
48,96,"[135, 1420, 285, 521, 202, 103, 801, 176, 553, 1124, 310, 929, 707, 1042, 241, 954, 393, 3853, 618, 448, 22324, 21748, 734, 2656, 1847, 1369, 1742, 1000, 1195, 4363, 1339, 849, 22126, 21779, 2580, 3633, 773, 477, 2510, 1921, 22053, 341, 1570, 1231, 682, 2044, 3684, 1170, 1896, 1259, 2717, 2420, 22876, 21604, 1069, 8451, 5592, 2766, 3826, 1779]","[8.2154, 7.8764, 7.8708, 7.8617, 7.8131, 7.7336, 7.6773, 7.6653, 7.6463, 7.6226, 7.6137, 7.6111, 7.604, 7.5947, 7.5859, 7.5462, 7.5356, 7.5177, 7.4892, 7.4842, 7.457, 7.4427, 7.4251, 7.403, 7.3932, 7.3924, 7.3725, 7.3361, 7.3054, 7.292, 7.287, 7.2779, 7.2739, 7.2666, 7.2619, 7.1911, 7.1864, 7.1736, 7.1731, 7.1608, 7.122, 7.105, 7.0923, 7.0823, 7.0695, 7.0673, 7.0588, 7.0588, 7.0415, 7.0386, 7.0163, 7.0152, 7.009, 6.9886, 6.981, 6.981, 6.9722, 6.969, 6.9685, 6.9623]"
48,168,"[1420, 285, 521, 202, 801, 176, 553, 1124, 310, 929, 707, 1042, 241, 954, 393, 3853, 618, 448, 22324, 21748, 734, 2656, 1847, 1369, 1742, 1000, 1195, 4363, 1339, 849, 22126, 21779, 2580, 3633, 773, 477, 2510, 1921, 22053, 341, 1570, 1231, 682, 2044, 3684, 1170, 1896, 1259, 2717, 2420, 22876, 21604, 1069, 8451, 5592, 2766, 3826, 1779, 21915, 1524]","[7.8764, 7.8708, 7.8617, 7.8131, 7.6773, 7.6653, 7.6463, 7.6226, 7.6137, 7.6111, 7.604, 7.5947, 7.5859, 7.5462, 7.5356, 7.5177, 7.4892, 7.4842, 7.457, 7.4427, 7.4251, 7.403, 7.3932, 7.3924, 7.3725, 7.3361, 7.3054, 7.292, 7.287, 7.2779, 7.2739, 7.2666, 7.2619, 7.1911, 7.1864, 7.1736, 7.1731, 7.1608, 7.122, 7.105, 7.0923, 7.0823, 7.0695, 7.0673, 7.0588, 7.0588, 7.0415, 7.0386, 7.0163, 7.0152, 7.009, 6.9886, 6.981, 6.981, 6.9722, 6.969, 6.9685, 6.9623, 6.9367, 6.924]"
48,672,"[1420, 801, 1124, 929, 707, 1042, 954, 3853, 22324, 21748, 734, 2656, 1847, 1369, 1742, 1000, 1195, 4363, 1339, 849, 22126, 21779, 2580, 3633, 773, 2510, 1921, 22053, 1570, 1231, 682, 2044, 3684, 1170, 1896, 1259, 2717, 2420, 22876, 21604, 1069, 8451, 5592, 2766, 3826, 1779, 21915, 1524, 903, 5202, 1472, 5232, 876, 5265, 4766, 5636, 1595, 5316, 2204, 2692]","[7.8764, 7.6773, 7.6226, 7.6111, 7.604, 7.5947, 7.5462, 7.5177, 7.457, 7.4427, 7.4251, 7.403, 7.3932, 7.3924, 7.3725, 7.3361, 7.3054, 7.292, 7.287, 7.2779, 7.2739, 7.2666, 7.2619, 7.1911, 7.1864, 7.1731, 7.1608, 7.122, 7.0923, 7.0823, 7.0695, 7.0673, 7.0588, 7.0588, 7.0415, 7.0386, 7.0163, 7.0152, 7.009, 6.9886, 6.981, 6.981, 6.9722, 6.969, 6.9685, 6.9623, 6.9367, 6.924, 6.9132, 6.9035, 6.8849, 6.8709, 6.87, 6.86, 6.831, 6.8274, 6.8223, 6.8215, 6.8163, 6.8134]"
48,4032,"[22324, 21748, 4363, 22126, 21779, 22053, 22876, 21604, 8451, 5592, 21915, 5202, 5232, 5265, 4766, 5636, 5316, 4334, 5401, 21697, 21955, 21528, 25197, 22009, 21813, 20406, 21563, 5441, 22810, 4147, 14578, 24665, 4545, 4737, 4857, 4208, 24831, 4172, 22708, 4437, 22645, 21867, 14511, 5020, 25050, 24711, 4622, 25222, 35616, 4585, 5527, 5291, 4894, 24739, 14544, 20497, 20245, 21670, 5160, 20319]","[7.457, 7.4427, 7.292, 7.2739, 7.2666, 7.122, 7.009, 6.9886, 6.981, 6.9722, 6.9367, 6.9035, 6.8709, 6.86, 6.831, 6.8274, 6.8215, 6.8049, 6.7931, 6.7865, 6.7267, 6.7234, 6.7046, 6.6915, 6.6818, 6.6794, 6.6757, 6.6747, 6.6745, 6.6621, 6.6458, 6.6437, 6.6322, 6.6318, 6.6314, 6.587, 6.5646, 6.5544, 6.5051, 6.5018, 6.4907, 6.4896, 6.4773, 6.471, 6.4531, 6.448, 6.4395, 6.4244, 6.4152, 6.4131, 6.412, 6.3993, 6.3957, 6.3943, 6.3939, 6.3888, 6.3886, 6.3824, 6.3823, 6.378]"
