SubsequenceLength,CurrentIndex,K,Precision,Recall,MRR
24,50000,1,0.0,0.0,0.0
48,50000,1,0.0,0.0,0.0
168,50000,1,0.0,0.0,0.0
672,50000,1,0.0,0.0,0.0
4032,50000,1,0.0,0.0,0.0
8064,50000,1,0.0,0.0,0.0
24,50000,3,0.0,0.0,0.0
48,50000,3,0.3333333333333333,0.0005988023952095808,0.0002015316404675534
168,50000,3,0.0,0.0,0.0
672,50000,3,0.9555555555555556,0.025748502994011976,0.00023408239700374532
4032,50000,3,0.9753086419753086,0.04730538922155689,0.0003171582619727244
8064,50000,3,0.7142857142857143,0.0029940119760479044,0.00025081514923501377
24,50000,5,0.5,0.0023952095808383233,0.00013175230566534916
48,50000,5,0.4,0.0011976047904191617,0.0002655321440780736
168,50000,5,0.0,0.0,0.0
672,50000,5,0.9148936170212766,0.025748502994011976,0.00014044943820224718
4032,50000,5,0.9655172413793104,0.05029940119760479,0.00031999664330555424
8064,50000,5,0.5555555555555556,0.0029940119760479044,0.00015048908954100828
24,50000,15,0.2222222222222222,0.0023952095808383233,4.391743522178305e-05
48,50000,15,0.13333333333333333,0.0011976047904191617,8.851071469269121e-05
168,50000,15,0.0,0.0,0.0
672,50000,15,0.7868852459016393,0.02874251497005988,9.005037477472225e-05
4032,50000,15,0.8811881188118812,0.053293413173652694,0.00015152871510813225
8064,50000,15,0.5,0.003592814371257485,0.0002044797092316814
24,50000,20,0.7571428571428571,0.03173652694610778,0.00011618710985452584
48,50000,20,0.1111111111111111,0.0011976047904191617,7.3758928910576e-05
168,50000,20,0.05,0.0005988023952095808,4.1017227235438884e-05
672,50000,20,0.7272727272727273,0.02874251497005988,6.753778108104168e-05
4032,50000,20,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,20,0.5,0.003592814371257485,0.0002044797092316814
24,50000,30,0.6875,0.03293413173652695,0.00010518918562541478
48,50000,30,0.1111111111111111,0.0011976047904191617,7.3758928910576e-05
168,50000,30,0.03333333333333333,0.0005988023952095808,2.734481815695926e-05
672,50000,30,0.7450980392156863,0.045508982035928146,8.857524118573973e-05
4032,50000,30,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,30,0.5,0.003592814371257485,0.0002044797092316814
24,50000,40,0.6875,0.03293413173652695,0.00010518918562541478
48,50000,40,0.1111111111111111,0.0011976047904191617,7.3758928910576e-05
168,50000,40,0.025,0.0005988023952095808,2.0508613617719442e-05
672,50000,40,0.8171428571428572,0.08562874251497006,0.00013987276039859547
4032,50000,40,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,40,0.5,0.003592814371257485,0.0002044797092316814
24,50000,50,0.6875,0.03293413173652695,0.00010518918562541478
48,50000,50,0.1111111111111111,0.0011976047904191617,7.3758928910576e-05
168,50000,50,0.17543859649122806,0.005988023952095809,4.719974602394048e-05
672,50000,50,0.8687943262411347,0.1467065868263473,0.0001829658462211977
4032,50000,50,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,50,0.5,0.003592814371257485,0.0002044797092316814
24,50000,60,0.6875,0.03293413173652695,0.00010518918562541478
48,50000,60,0.1111111111111111,0.0011976047904191617,7.3758928910576e-05
168,50000,60,0.14925373134328357,0.005988023952095809,3.9333121686617066e-05
672,50000,60,0.8494983277591973,0.15209580838323353,0.00017672332374547804
4032,50000,60,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,60,0.5,0.003592814371257485,0.0002044797092316814
