SubsequenceLength,CurrentIndex,K,Precision,Recall,MRR
24,50000,1,0.0,0.0,0.0
48,50000,1,1.0,0.0005988023952095808,0.0008849557522123894
168,50000,1,0.0,0.0,0.0
672,50000,1,0.0,0.0,0.0
4032,50000,1,0.0,0.0,0.0
8064,50000,1,0.0,0.0,0.0
24,50000,3,0.5,0.0011976047904191617,0.0002944640753828033
48,50000,3,0.3333333333333333,0.0005988023952095808,0.0002949852507374631
168,50000,3,0.0,0.0,0.0
672,50000,3,0.9555555555555556,0.025748502994011976,0.00023408239700374532
4032,50000,3,0.9753086419753086,0.04730538922155689,0.0003171582619727244
8064,50000,3,0.7142857142857143,0.0029940119760479044,0.00025081514923501377
24,50000,5,0.5714285714285714,0.0023952095808383233,0.00031782170563899746
48,50000,5,0.2,0.0005988023952095808,0.00017699115044247788
168,50000,5,0.0,0.0,0.0
672,50000,5,0.9148936170212766,0.025748502994011976,0.00014044943820224718
4032,50000,5,0.9655172413793104,0.05029940119760479,0.00031999664330555424
8064,50000,5,0.5555555555555556,0.0029940119760479044,0.00015048908954100828
24,50000,15,0.5714285714285714,0.0023952095808383233,0.00031782170563899746
48,50000,15,0.1875,0.0017964071856287425,0.00011788986522405329
168,50000,15,0.0,0.0,0.0
672,50000,15,0.7868852459016393,0.02874251497005988,9.005037477472225e-05
4032,50000,15,0.8811881188118812,0.053293413173652694,0.00015152871510813225
8064,50000,15,0.5,0.003592814371257485,0.0002044797092316814
24,50000,20,0.5714285714285714,0.0023952095808383233,0.00031782170563899746
48,50000,20,0.36,0.005389221556886228,0.00015833166118342808
168,50000,20,0.05,0.0005988023952095808,4.1017227235438884e-05
672,50000,20,0.7272727272727273,0.02874251497005988,6.753778108104168e-05
4032,50000,20,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,20,0.5,0.003592814371257485,0.0002044797092316814
24,50000,30,0.5714285714285714,0.0023952095808383233,0.00031782170563899746
48,50000,30,0.8016528925619835,0.05808383233532934,0.00015593837661596796
168,50000,30,0.03333333333333333,0.0005988023952095808,2.734481815695926e-05
672,50000,30,0.7450980392156863,0.045508982035928146,8.857524118573973e-05
4032,50000,30,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,30,0.5,0.003592814371257485,0.0002044797092316814
24,50000,40,0.5714285714285714,0.0023952095808383233,0.00031782170563899746
48,50000,40,0.7637795275590551,0.05808383233532934,0.0001299486471799733
168,50000,40,0.025,0.0005988023952095808,2.0508613617719442e-05
672,50000,40,0.8171428571428572,0.08562874251497006,0.00013987276039859547
4032,50000,40,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,40,0.5,0.003592814371257485,0.0002044797092316814
24,50000,50,0.5714285714285714,0.0023952095808383233,0.00031782170563899746
48,50000,50,0.7637795275590551,0.05808383233532934,0.0001299486471799733
168,50000,50,0.17543859649122806,0.005988023952095809,4.719974602394048e-05
672,50000,50,0.8687943262411347,0.1467065868263473,0.0001829658462211977
4032,50000,50,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,50,0.5,0.003592814371257485,0.0002044797092316814
24,50000,60,0.5714285714285714,0.0023952095808383233,0.00031782170563899746
48,50000,60,0.7637795275590551,0.05808383233532934,0.0001299486471799733
168,50000,60,0.14925373134328357,0.005988023952095809,3.9333121686617066e-05
672,50000,60,0.8494983277591973,0.15209580838323353,0.00017672332374547804
4032,50000,60,0.9044117647058824,0.07365269461077845,0.00018557440834056073
8064,50000,60,0.5,0.003592814371257485,0.0002044797092316814
