SubsequenceLength,CurrentIndex,K,Precision,Recall,MRR
24,96,1,0.0,0.0,0.0
24,168,1,0.0,0.0,0.0
24,672,1,0.0,0.0,0.0
24,4032,1,0.0,0.0,0.0
24,8064,1,0.0,0.0,0.0
24,24192,1,0.0,0.0,0.0
48,96,1,0.0,0.0,0.0
48,168,1,0.0,0.0,0.0
48,672,1,0.0,0.0,0.0
48,4032,1,1.0,0.0011976047904191617,0.0015313935681470138
48,8064,1,1.0,0.0011976047904191617,0.0015313935681470138
48,24192,1,0.0,0.0,0.0
168,672,1,0.0,0.0,0.0
168,4032,1,0.0,0.0,0.0
168,8064,1,0.0,0.0,0.0
168,24192,1,0.0,0.0,0.0
672,4032,1,0.0,0.0,0.0
672,8064,1,0.0,0.0,0.0
672,24192,1,0.0,0.0,0.0
4032,8064,1,0.0,0.0,0.0
4032,24192,1,0.0,0.0,0.0
8064,24192,1,0.0,0.0,0.0
24,96,3,0.0,0.0,0.0
24,168,3,0.0,0.0,0.0
24,672,3,0.0,0.0,0.0
24,4032,3,0.5,0.0011976047904191617,0.0005104645227156713
24,8064,3,0.5,0.0011976047904191617,0.0005104645227156713
24,24192,3,0.0,0.0,0.0
48,96,3,0.0,0.0,0.0
48,168,3,0.0,0.0,0.0
48,672,3,0.0,0.0,0.0
48,4032,3,0.5,0.0011976047904191617,0.0005104645227156713
48,8064,3,0.5,0.0011976047904191617,0.0005104645227156713
48,24192,3,0.0,0.0,0.0
168,672,3,0.0,0.0,0.0
168,4032,3,0.0,0.0,0.0
168,8064,3,0.0,0.0,0.0
168,24192,3,0.0,0.0,0.0
672,4032,3,0.9555555555555556,0.025748502994011976,0.00023408239700374532
672,8064,3,0.9555555555555556,0.025748502994011976,0.00023408239700374532
672,24192,3,0.9555555555555556,0.025748502994011976,0.00023408239700374532
4032,8064,3,0.0,0.0,0.0
4032,24192,3,0.0,0.0,0.0
8064,24192,3,0.7142857142857143,0.0029940119760479044,0.00025081514923501377
24,96,5,0.0,0.0,0.0
24,168,5,0.0,0.0,0.0
24,672,5,0.0,0.0,0.0
24,4032,5,0.3333333333333333,0.0011976047904191617,0.00030627871362940275
24,8064,5,0.3333333333333333,0.0011976047904191617,0.00030627871362940275
24,24192,5,0.0,0.0,0.0
