SubsequenceLength,CurrentIndex,K,Precision,Recall,F1-Score
24,96,1,0.0,0.0,0.0
24,168,1,0.0,0.0,0.0
24,672,1,0.9642857142857143,0.004412485700277823,0.008784773060029283
24,4032,1,0.9642857142857143,0.004412485700277823,0.008784773060029283
24,8064,1,0.0,0.0,0.0
24,24192,1,0.0,0.0,0.0
2,2,1,0.0,0.0,0.0
60,96,1,0.0,0.0,0.0
48,168,1,0.0,0.0,0.0
48,672,1,0.0,0.0,0.0
48,4032,1,0.0,0.0,0.0
48,8064,1,0.0,0.0,0.0
48,24192,1,1.0,0.0070272920411832,0.013956507627393705
168,4032,1,0.9333333333333333,0.0022879555482922045,0.0045647212259537
168,8064,1,1.0,0.0022879555482922045,0.004565465514430132
168,24192,1,0.0,0.0,0.0
672,8064,1,0.0,0.0,0.0
672,24192,1,0.0,0.0,0.0
4032,24192,1,0.0,0.0,0.0
24,96,3,0.0,0.0,0.0
24,168,3,0.0,0.0,0.0
24,672,3,0.84375,0.004412485700277823,0.00877906031539587
24,4032,3,0.84375,0.004412485700277823,0.00877906031539587
24,8064,3,0.0,0.0,0.0
24,24192,3,0.0,0.0,0.0
2,2,3,0.0,0.0,0.0
60,96,3,0.0,0.0,0.0
48,168,3,0.0,0.0,0.0
48,672,3,0.7368421052631579,0.0022879555482922045,0.004561746497230368
48,4032,3,0.0,0.0,0.0
48,8064,3,0.0,0.0,0.0
48,24192,3,0.9555555555555556,0.0070272920411832,0.013951979234263464
168,4032,3,0.7368421052631579,0.0022879555482922045,0.004561746497230368
168,8064,3,0.875,0.0022879555482922045,0.004563977180114099
168,24192,3,0.0,0.0,0.0
672,8064,3,0.9528301886792453,0.01650596502696519,0.03244979919678715
672,24192,3,0.0,0.0,0.0
4032,24192,3,0.0,0.0,0.0
24,96,5,0.0,0.0,0.0
24,168,5,0.0,0.0,0.0
24,672,5,0.75,0.004412485700277823,0.008773354995938263
24,4032,5,0.75,0.004412485700277823,0.008773354995938263
24,8064,5,0.0,0.0,0.0
24,24192,5,0.0,0.0,0.0
2,2,5,0.0,0.0,0.0
60,96,5,0.0,0.0,0.0
48,168,5,0.0,0.0,0.0
48,672,5,0.6086956521739131,0.0022879555482922045,0.004558775643112993
48,4032,5,0.0,0.0,0.0
