SubsequenceLength,CurrentIndex,Precision,Recall,MRR
24,96,0.0,0.0,0.0
24,168,0.48214285714285715,0.004412485700277823,0.035714285714285705
24,672,0.4909090909090909,0.004412485700277823,0.0769230769230769
24,4032,0.48214285714285715,0.004412485700277823,1.0
24,8064,0.0,0.0,0.0
24,24192,0.0,0.0,0.0
2,2,0.0,0.0,0.0
60,96,0.0,0.0,0.0
48,168,0.7543859649122807,0.0070272920411832,0.06666666666666672
48,672,0.4716981132075472,0.004085634907664651,0.052063492063492076
48,4032,0.0,0.0,0.0
48,8064,0.125,0.0003268507926131721,0.07692307692307693
48,24192,0.85,0.011112926948847851,0.684640522875817
168,4032,0.8235294117647058,0.02059159993462984,0.1711073318216174
168,8064,0.5,0.0022879555482922045,1.0
168,24192,0.8782608695652174,0.01650596502696519,0.1666666666666665
672,8064,0.889795918367347,0.03562673639483576,0.17360127275811635
672,24192,0.5333333333333333,0.0026148063409053767,0.08333333333333331
4032,24192,0.0,0.0,0.0
