SubsequenceLength,CurrentIndex,K,Precision,Recall,MRR
24,50000,1,0.0,0.0,0.0
48,50000,1,0.0,0.0,0.0
168,50000,1,1.0,0.0022879555482922045,0.00017969451931716083
672,50000,1,0.0,0.0,0.0
4032,50000,1,0.0,0.0,0.0
8064,50000,1,0.0,0.0,0.0
24,50000,3,0.0,0.0,0.0
48,50000,3,0.0,0.0,0.0
168,50000,3,0.875,0.0022879555482922045,5.989817310572028e-05
672,50000,3,0.0,0.0,0.0
4032,50000,3,0.0,0.0,0.0
8064,50000,3,0.0,0.0,0.0
24,50000,5,0.0,0.0,0.0
48,50000,5,0.0,0.0,0.0
168,50000,5,0.7777777777777778,0.0022879555482922045,3.5938903863432166e-05
672,50000,5,0.0,0.0,0.0
4032,50000,5,0.0,0.0,0.0
8064,50000,5,0.0,0.0,0.0
24,50000,15,0.48148148148148145,0.0021245301519856184,1.5182570409170272e-05
48,50000,15,0.36363636363636365,0.0013074031704526884,1.7873100983020557e-05
168,50000,15,0.5,0.0022879555482922045,1.1979634621144055e-05
672,50000,15,0.0,0.0,0.0
4032,50000,15,0.9523809523809523,0.03595358718744893,5.8402428374203955e-05
8064,50000,15,0.0,0.0,0.0
24,50000,20,0.55,0.003595358718744893,2.143919962030754e-05
48,50000,20,0.47058823529411764,0.0026148063409053767,2.691103859518006e-05
168,50000,20,0.4857142857142857,0.002778231737211963,1.788944546719375e-05
672,50000,20,0.17391304347826086,0.0006537015852263442,1.0060362173038228e-05
4032,50000,20,0.9401709401709402,0.03595358718744893,4.8668690311836626e-05
8064,50000,20,0.0,0.0,0.0
24,50000,30,0.4807692307692308,0.004085634907664651,2.022294266331598e-05
48,50000,30,0.47058823529411764,0.003922209511358065,2.671493123156779e-05
168,50000,30,0.37777777777777777,0.002778231737211963,1.1926296978129167e-05
672,50000,30,0.5333333333333333,0.0052296126818107535,1.5711050020635247e-05
4032,50000,30,0.9401709401709402,0.03595358718744893,4.8668690311836626e-05
8064,50000,30,0.0,0.0,0.0
24,50000,40,0.4857142857142857,0.005556463474423926,2.3492215322495312e-05
48,50000,40,0.5333333333333333,0.006537015852263441,2.898012835817182e-05
168,50000,40,0.3090909090909091,0.002778231737211963,8.944722733596875e-06
672,50000,40,0.5066666666666667,0.006210165059650269,1.6205718083316518e-05
4032,50000,40,0.9401709401709402,0.03595358718744893,4.8668690311836626e-05
8064,50000,40,0.0,0.0,0.0
24,50000,50,0.5108695652173914,0.007680993626409544,2.4047252688781644e-05
48,50000,50,0.47058823529411764,0.006537015852263441,2.3184102686537455e-05
168,50000,50,0.26153846153846155,0.002778231737211963,7.1557781868774995e-06
672,50000,50,0.7513513513513513,0.02271613008661546,1.7622236320402634e-05
4032,50000,50,0.9401709401709402,0.03595358718744893,4.8668690311836626e-05
8064,50000,50,0.0,0.0,0.0
24,50000,60,0.46078431372549017,0.007680993626409544,2.003937724065137e-05
48,50000,60,0.4953271028037383,0.00866154600424906,2.268233424402632e-05
168,50000,60,0.4411764705882353,0.007354142833796372,1.0465219441702798e-05
672,50000,60,0.7128205128205128,0.02271613008661546,1.468519693366886e-05
4032,50000,60,0.9401709401709402,0.03595358718744893,4.8668690311836626e-05
8064,50000,60,0.0,0.0,0.0
